Employee Name,EmpID,Salary,Position,State,Birthdate,Age,Gender,MaritalStatus,CitizenDesc,HireDate,TerminDate,TermReason,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
Alex Delarge,10306,61568,Area Sales Manager,VD,11.2.80,43,M ,Single,Switzerland,29.9.19,,N/A-StillEmployed,Active,Sales,John Smith,Indeed,PIP,1.93,3,0,30.1.23,6,5
Carla Demita,10100,58275,Production Technician II,GE,25.2.56,67,F,Separated,Switzerland,4.4.16,11.4.20,more money,Voluntarily Terminated,Production,Kelley Spirea,Google Search,Fully Meets,4.62,5,0,5.6.19,0,1
Carl Desimone,10310,53189,Production Technician I,GE,19.4.72,51,M ,Married,Switzerland,7.7.19,,N/A-StillEmployed,Active,Production,Amy Dunn,Indeed,PIP,1.12,2,0,31.1.23,4,9
Tommy DeVito,10197,96820,BI Developer,GE,9.4.88,35,M ,Single,Switzerland,15.2.22,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,3.01,5,7,23.1.23,0,15
Geoff Dickinson,10276,51259,Production Technician I,GE,15.11.87,36,M ,Single,Switzerland,5.12.19,,N/A-StillEmployed,Active,Production,Ketsia Liebig,Indeed,Fully Meets,4.3,4,0,19.2.23,0,1
Jenna Dietrich,10304,59231,Area Sales Manager,VD,14.5.92,31,F,Single,Switzerland,20.2.17,,N/A-StillEmployed,Active,Sales,John Smith,Website,PIP,2.3,1,0,29.1.23,2,17
Lily DiNocco,10284,61584,Production Technician I,GE,12.2.83,40,F,Married,Switzerland,1.7.18,,N/A-StillEmployed,Active,Production,Brannon Miller,Indeed,Needs Improvement,3.88,4,0,18.1.23,0,6
Denisa S Dobrin,10207,46335,Production Technician I,GE,10.7.91,32,F,Single,Switzerland,4.2.17,,N/A-StillEmployed,Active,Production,David Stanley,CareerBuilder,Fully Meets,3.4,5,0,19.2.23,0,15
Linda Dolan,10133,70621,IT Support,GE,18.7.93,30,F,Married,Switzerland,1.5.20,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.11,4,6,25.2.23,0,16
Eric Dougall,10028,138888,IT Manager - Support,GE,7.9.75,48,M ,Single,Switzerland,1.5.19,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,Indeed,Exceeds,4.3,5,5,1.4.23,0,4
Elle Driver,10006,74241,Area Sales Manager,VD,11.8.93,30,F,Single,Switzerland,1.10.16,,N/A-StillEmployed,Active,Sales,Lynn Daneault,Indeed,Exceeds,4.77,5,0,27.1.23,0,14
Amy Dunn,10105,75188,Production Manager,GE,28.11.78,45,F,Single,Switzerland,18.9.19,,N/A-StillEmployed,Active,Production,Janet King,Google Search,Fully Meets,4.52,4,0,15.1.23,0,4
Amy Dunne,10211,62514,Production Technician I,GE,23.9.78,45,F,Married,Switzerland,26.4.15,,N/A-StillEmployed,Active,Production,Ketsia Liebig,Google Search,Fully Meets,2.9,3,0,21.1.23,0,6
Marianne Eaton,10064,60070,Production Technician I,GE,9.5.96,27,F,Married,Switzerland,4.4.16,6.6.22,military,Voluntarily Terminated,Production,Kissy Sullivan,Google Search,Fully Meets,5,3,0,4.9.21,0,7
Jean Engdahl,10247,48888,Production Technician I,GE,31.5.79,44,M ,Single,Switzerland,11.10.19,,N/A-StillEmployed,Active,Production,Kelley Spirea,LinkedIn,Fully Meets,4.7,5,0,13.2.23,0,8
Rex England,10235,54285,Production Technician I,GE,25.8.83,40,M ,Married,Switzerland,31.3.19,,N/A-StillEmployed,Active,Production,Kelley Spirea,Employee Referral,Fully Meets,4.2,3,0,1.11.23,0,3
Angela Erilus,10299,56847,Production Technician II,GE,25.8.94,29,F,Separated,Switzerland,7.7.19,,N/A-StillEmployed,Active,Production,Michael Albert,Indeed,PIP,3,1,0,25.2.23,2,5
Miguel Estremera,10280,60340,Production Technician I,GE,9.2.88,35,M ,Single,Switzerland,4.2.17,27.9.23,attendance,Terminated for Cause,Production,Michael Albert,Google Search,Needs Improvement,5,4,0,4.12.22,5,16
April Evensen,10296,59124,Production Technician I,GE,5.6.94,29,F,Single,Switzerland,17.2.19,25.2.23,"no-call, no-show",Terminated for Cause,Production,Elijiah Gray,Google Search,Needs Improvement,2.3,3,0,15.1.21,5,19
Susan Exantus,10290,99280,Software Engineer,BE,15.5.92,31,F,Married,Switzerland,5.2.16,6.5.18,attendance,Terminated for Cause,Software Engineering,Alex Sweetwater,Indeed,Needs Improvement,2.1,5,4,8.10.16,4,19
Megan Faller,10263,71776,Production Technician II,GE,22.9.83,40,F,Married,Switzerland,7.7.19,,N/A-StillEmployed,Active,Production,Elijiah Gray,LinkedIn,Fully Meets,4.4,5,0,22.2.23,0,17
Nicole Fancett,10136,65902,Production Technician II,GE,27.9.92,31,F,Single,Switzerland,17.2.19,,N/A-StillEmployed,Active,Production,Webster Butler,LinkedIn,Fully Meets,4,4,0,1.7.23,0,7
Susan Ferguson,10189,57748,Production Technician I,GE,14.4.60,63,F,Married,Switzerland,11.7.16,17.5.21,military,Voluntarily Terminated,Production,Webster Butler,Google Search,Fully Meets,3.13,3,0,2.4.20,0,16
Nilson Fernandes,10308,64057,Production Technician I,GE,18.10.94,29,M ,Married,Switzerland,5.11.20,,N/A-StillEmployed,Active,Production,Amy Dunn,Indeed,PIP,1.56,5,0,1.3.23,6,15
Boba Fett,10309,53366,Network Engineer,GE,18.6.92,31,M ,Single,Switzerland,30.3.20,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,LinkedIn,PIP,1.2,3,6,2.4.23,3,2
Libby Fidelia,10049,58530,Production Technician I,GE,16.3.86,37,F,Married,Switzerland,1.9.17,,N/A-StillEmployed,Active,Production,Brannon Miller,Google Search,Fully Meets,5,5,0,29.1.23,0,19
Michael J Fitzpatrick,10093,72609,Production Technician II,GE,10.1.86,37,M ,Single,Switzerland,16.5.16,24.6.18,hours,Voluntarily Terminated,Production,Amy Dunn,Google Search,Fully Meets,4.76,5,0,4.5.17,0,20
Tanya Foreman,10163,55965,Production Technician II,GE,11.8.88,35,F,Married,Switzerland,4.4.16,1.9.18,career change,Voluntarily Terminated,Production,Ketsia Liebig,Google Search,Fully Meets,3.66,3,0,1.7.16,0,6
Alex Forrest,10305,70187,Area Sales Manager,VD,7.7.80,43,M ,Married,Switzerland,29.9.19,19.8.23,Fatal attraction,Terminated for Cause,Sales,Lynn Daneault,Employee Referral,PIP,2,5,0,28.1.23,4,7
Jason Foss,10015,178000,IT Director,GE,7.5.85,38,M ,Single,Switzerland,15.4.16,,N/A-StillEmployed,Active,IT/IS,Jennifer Zamora,Indeed,Exceeds,5,5,5,1.7.23,0,15
Amy Foster-Baker,10080,99351,Sr. Accountant,ZH,16.4.84,39,F,Married,Switzerland,1.5.14,,N/A-StillEmployed,Active,Admin Offices,Board of Directors,Other,Fully Meets,5,3,2,2.8.23,0,3
Maruk Fraval,10258,67251,Area Sales Manager,VD,28.8.68,55,M ,Single,Switzerland,9.6.16,,N/A-StillEmployed,Active,Sales,Lynn Daneault,CareerBuilder,Fully Meets,4.3,3,0,27.1.23,2,7
Lisa Galia,10273,65707,IT Support,GE,7.6.73,50,F,Single,Switzerland,5.1.15,,N/A-StillEmployed,Active,IT/IS,Eric Dougall,LinkedIn,Fully Meets,4.7,4,5,2.1.23,0,1
Raul Garcia,10111,52249,Production Technician I,GE,15.9.90,33,M ,Single,Switzerland,30.3.20,,N/A-StillEmployed,Active,Production,David Stanley,Employee Referral,Fully Meets,4.5,3,0,18.2.23,0,5
Barbara Gaul,10257,53171,Production Technician I,GE,12.2.88,35,F,Single,Switzerland,16.5.16,,N/A-StillEmployed,Active,Production,Kelley Spirea,LinkedIn,Fully Meets,4.2,4,0,26.2.23,0,12
Mildred Gentry,10159,51337,Production Technician I,GE,10.1.95,28,F,Married,Switzerland,30.3.20,,N/A-StillEmployed,Active,Production,Michael Albert,LinkedIn,Fully Meets,3.73,3,0,16.1.23,0,19
Melisa Gerke,10122,51505,Production Technician I,GE,15.5.75,48,F,Divorced,Switzerland,11.7.16,15.11.21,hours,Voluntarily Terminated,Production,Elijiah Gray,Diversity Job Fair,Fully Meets,4.24,4,0,29.4.20,0,2
Whitney Gill,10142,59370,Area Sales Manager,VD,7.10.76,47,F,Widowed,Switzerland,7.7.19,9.5.20,attendance,Terminated for Cause,Sales,John Smith,CareerBuilder,Fully Meets,3.97,4,0,15.1.18,0,7
Alex Gilles,10283,54933,Production Technician I,GE,8.9.79,44,M ,Married,Switzerland,4.2.17,25.6.20,military,Voluntarily Terminated,Production,Webster Butler,Diversity Job Fair,Needs Improvement,3.97,4,0,20.1.19,3,15
Evelyn Girifalco,10018,57815,Production Technician I,GE,5.8.85,38,F,Single,Switzerland,29.9.19,,N/A-StillEmployed,Active,Production,Amy Dunn,Indeed,Exceeds,3.9,4,0,2.7.23,0,3
Myriam Givens,10255,61555,Area Sales Manager,VD,22.9.94,29,F,Single,Switzerland,16.2.20,,N/A-StillEmployed,Active,Sales,Lynn Daneault,Indeed,Fully Meets,4.5,5,0,25.1.23,0,20
Taisha Goble,10246,114800,Database Administrator,GE,23.10.76,47,F,Single,Switzerland,16.2.20,15.3.20,"no-call, no-show",Terminated for Cause,IT/IS,Simon Roup,Indeed,Fully Meets,4.6,4,4,20.1.19,0,10
Amon Goeth,10228,74679,IT Support,GE,24.11.94,29,M ,Married,Switzerland,30.3.20,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,LinkedIn,Fully Meets,4.3,5,7,1.10.23,0,20
Shenice Gold,10243,53018,Production Technician I,GE,18.6.97,26,F,Single,Switzerland,11.11.18,,N/A-StillEmployed,Active,Production,Ketsia Liebig,Indeed,Fully Meets,4.3,5,0,18.2.23,0,7
Cayo Gonzalez,10031,59892,Production Technician I,GE,29.9.74,49,M ,Divorced,Switzerland,7.11.16,,N/A-StillEmployed,Active,Production,Brannon Miller,Diversity Job Fair,Exceeds,4.5,4,0,18.2.23,0,1
Juan Gonzalez,10300,68898,Production Technician II,GE,10.12.69,54,M ,Married,Switzerland,26.4.15,30.5.16,career change,Voluntarily Terminated,Production,Brannon Miller,Diversity Job Fair,PIP,3,3,0,3.6.15,3,10
Maria Gonzalez,10101,61242,IT Support,GE,16.4.86,37,F,Separated,Switzerland,1.5.20,,N/A-StillEmployed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.61,4,5,28.1.23,0,11
Susan Good,10237,66825,Production Technician II,GE,25.5.91,32,F,Married,Switzerland,5.12.19,,N/A-StillEmployed,Active,Production,David Stanley,LinkedIn,Fully Meets,4.6,3,0,2.7.23,0,20
David Gordon,10051,48285,Production Technician I,GE,21.5.84,39,M ,Married,Switzerland,7.2.17,,N/A-StillEmployed,Active,Production,David Stanley,LinkedIn,Fully Meets,5,3,0,14.1.23,0,2
Phylicia Gosciminski,10218,66149,Production Technician II,GE,12.8.88,35,F,Separated,Switzerland,30.9.18,,N/A-StillEmployed,Active,Production,Kissy Sullivan,Google Search,Fully Meets,4.4,5,0,21.2.23,0,1
Roxana Goyal,10256,49256,Production Technician I,GE,10.9.79,44,F,Married,Switzerland,19.8.18,,N/A-StillEmployed,Active,Production,Kissy Sullivan,LinkedIn,Fully Meets,4.1,5,0,15.2.23,0,3
Elijiah Gray,10098,62957,Production Manager,GE,7.11.86,37,M ,Divorced,Switzerland,6.2.20,,N/A-StillEmployed,Active,Production,Janet King,Employee Referral,Fully Meets,4.63,3,0,1.4.23,0,2
Paula Gross,10059,63813,Production Technician I,GE,21.5.88,35,F,Divorced,Switzerland,21.2.16,1.11.19,more money,Voluntarily Terminated,Production,Kelley Spirea,CareerBuilder,Fully Meets,5,5,0,6.3.17,0,17
Hans Gruber,10234,99020,BI Developer,GE,30.6.94,29,M ,Married,Switzerland,20.4.22,,N/A-StillEmployed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.2,5,5,28.1.23,0,8
Mike Guilianno,10109,71707,Area Sales Manager,VD,2.9.74,49,M ,Single,Switzerland,3.7.17,31.10.19,relocation out of area,Voluntarily Terminated,Sales,John Smith,LinkedIn,Fully Meets,4.5,5,0,2.1.17,0,20
Joanne Handschiegl,10125,54828,Production Technician I,GE,23.3.82,41,F,Married,Switzerland,28.11.16,,N/A-StillEmployed,Active,Production,Michael Albert,Google Search,Fully Meets,4.2,4,0,22.2.23,0,13
Earnest Hankard,10074,64246,Production Technician II,GE,8.10.93,30,M ,Single,Switzerland,11.11.18,,N/A-StillEmployed,Active,Production,Kelley Spirea,LinkedIn,Fully Meets,5,3,0,1.8.23,0,20
